benchmark,solver,wallclock time,result
cloud_new/non-incremental/UFDTNIRA/smt-comp-380.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDTNIRA/smt-comp-380.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_FP/smt-comp-070.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_FP/smt-comp-070.smt2,par,0.009,SATISFIABLE
cloud_new/non-incremental/UFDT/smt-comp-341.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDT/smt-comp-341.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_LIA/smt-comp-275.smt2,cubeandconquer,132.679,SATISFIABLE
cloud_new/non-incremental/QF_LIA/smt-comp-275.smt2,portfolio,63.96,SATISFIABLE
cloud_new/non-incremental/QF_LIA/smt-comp-275.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_LIA/smt-comp-275.smt2,par,1296.856,SATISFIABLE
cloud_new/non-incremental/UFIDL/smt-comp-386.smt2,cvc5gg,1.994,UNSATISFIABLE
cloud_new/non-incremental/UFIDL/smt-comp-386.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFIDL/smt-comp-386.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-316.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-316.smt2,par,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-316.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-248.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-248.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-248.smt2,stp,CRASHED,
cloud_new/non-incremental/QF_ABV/smt-comp-238.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-238.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFLIRA/smt-comp-199.smt2,cvc5gg,1.985,UNSATISFIABLE
cloud_new/non-incremental/AUFLIRA/smt-comp-199.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFLIRA/smt-comp-199.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-164.smt2,cvc5gg,2.002,UNSATISFIABLE
cloud_new/non-incremental/UFNIA/smt-comp-164.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-164.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_FP/smt-comp-256.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_FP/smt-comp-256.smt2,par,0.008,SATISFIABLE
cloud_new/non-incremental/QF_IDL/smt-comp-267.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-267.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-267.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-267.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-106.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-106.smt2,par,613.123,SATISFIABLE
cloud_new/non-incremental/QF_RDL/smt-comp-307.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-307.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_RDL/smt-comp-307.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/LRA/smt-comp-046.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/LRA/smt-comp-046.smt2,par,600.899,SATISFIABLE
cloud_new/non-incremental/LRA/smt-comp-046.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFDTLIRA/smt-comp-006.smt2,cvc5gg,2.001,UNSATISFIABLE
cloud_new/non-incremental/AUFDTLIRA/smt-comp-006.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-168.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/UFNIA/smt-comp-168.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-168.smt2,vampirecloud,TIMEOUT,
