benchmark,solver,wallclock time,result
parallel_new/non-incremental/AUFLIRA/smt-comp-207.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-208.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-208.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-208.smt2,vampireparallel,1065.864,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-209.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-209.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-209.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-210.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-210.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-210.smt2,vampireparallel,1044.533,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-211.smt2,cvc5ggparallel,1.996,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-211.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-211.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-212.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFLIRA/smt-comp-212.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-212.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-213.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-213.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-213.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-214.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-214.smt2,parallelpar,TIMEOUT,
